
Predictions were generated on 06-Sep-2024 at 17:54:47 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 32-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time      	Wind1VelX 	BldPitch1 	RotSpeed  	TTDspFA   	TwrBsMyt  	LSShftTq  	RootMyc1  	GenPwr    	GenTq     
(s)       	(m/s)     	(deg)     	(rpm)     	(m)       	(kN·m)    	(kN·m)    	(kN·m)    	(kW)      	(kN·m)    
    0.4375	 1.600E+01	 1.201E+01	 1.210E+01	 0.000E+00	 3.381E+04	 4.180E+03	 5.528E+03	 5.000E+03	 4.308E+01
    0.4500	 1.600E+01	 1.201E+01	 1.210E+01	 0.000E+00	 3.381E+04	 4.180E+03	 5.527E+03	 5.000E+03	 4.308E+01
    0.4625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.380E+04	 4.180E+03	 5.526E+03	 5.000E+03	 4.308E+01
    0.4750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.380E+04	 4.180E+03	 5.525E+03	 5.000E+03	 4.308E+01
    0.4875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.380E+04	 4.180E+03	 5.524E+03	 5.000E+03	 4.308E+01
    0.5000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.380E+04	 4.180E+03	 5.523E+03	 5.000E+03	 4.308E+01
    0.5125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.380E+04	 4.180E+03	 5.522E+03	 5.000E+03	 4.308E+01
    0.5250	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.380E+04	 4.180E+03	 5.521E+03	 5.000E+03	 4.308E+01
    0.5375	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.380E+04	 4.180E+03	 5.521E+03	 5.000E+03	 4.308E+01
    0.5500	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.520E+03	 5.000E+03	 4.308E+01
    0.5625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.519E+03	 5.000E+03	 4.308E+01
    0.5750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.519E+03	 5.000E+03	 4.308E+01
    0.5875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.518E+03	 5.000E+03	 4.308E+01
    0.6000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.517E+03	 5.000E+03	 4.308E+01
    0.6125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.517E+03	 5.000E+03	 4.308E+01
    0.6250	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.517E+03	 5.000E+03	 4.308E+01
    0.6375	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.379E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.6500	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.6625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.6750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.6875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.515E+03	 5.000E+03	 4.308E+01
    0.7000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.515E+03	 5.000E+03	 4.308E+01
    0.7125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.515E+03	 5.000E+03	 4.308E+01
    0.7250	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.515E+03	 5.000E+03	 4.308E+01
    0.7375	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.378E+04	 4.180E+03	 5.515E+03	 5.000E+03	 4.308E+01
    0.7500	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.7625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.7750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.7875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.516E+03	 5.000E+03	 4.308E+01
    0.8000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.517E+03	 5.000E+03	 4.308E+01
    0.8125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.517E+03	 5.000E+03	 4.308E+01
    0.8250	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.518E+03	 5.000E+03	 4.308E+01
    0.8375	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.180E+03	 5.518E+03	 5.000E+03	 4.308E+01
    0.8500	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.179E+03	 5.519E+03	 5.000E+03	 4.308E+01
    0.8625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.377E+04	 4.179E+03	 5.519E+03	 5.000E+03	 4.308E+01
    0.8750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.520E+03	 5.000E+03	 4.308E+01
    0.8875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.521E+03	 5.000E+03	 4.308E+01
    0.9000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.522E+03	 5.000E+03	 4.308E+01
    0.9125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.523E+03	 5.000E+03	 4.308E+01
    0.9250	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.524E+03	 5.000E+03	 4.308E+01
    0.9375	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.525E+03	 5.000E+03	 4.308E+01
    0.9500	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.526E+03	 5.000E+03	 4.308E+01
    0.9625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.527E+03	 5.000E+03	 4.308E+01
    0.9750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.528E+03	 5.000E+03	 4.308E+01
    0.9875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.376E+04	 4.179E+03	 5.529E+03	 5.000E+03	 4.308E+01
    1.0000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.530E+03	 5.000E+03	 4.308E+01
    1.0125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.532E+03	 5.000E+03	 4.308E+01
    1.0250	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.533E+03	 5.000E+03	 4.308E+01
    1.0375	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.534E+03	 5.000E+03	 4.308E+01
    1.0500	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.536E+03	 5.000E+03	 4.308E+01
    1.0625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.537E+03	 5.000E+03	 4.308E+01
    1.0750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.539E+03	 5.000E+03	 4.308E+01
    1.0875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.541E+03	 5.000E+03	 4.308E+01
    1.1000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.542E+03	 5.000E+03	 4.308E+01
    1.1125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.544E+03	 5.000E+03	 4.308E+01
    1.1250	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.546E+03	 5.000E+03	 4.308E+01
    1.1375	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.548E+03	 5.000E+03	 4.308E+01
    1.1500	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.375E+04	 4.179E+03	 5.550E+03	 5.000E+03	 4.308E+01
    1.1625	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.552E+03	 5.000E+03	 4.308E+01
    1.1750	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.553E+03	 5.000E+03	 4.308E+01
    1.1875	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.555E+03	 5.000E+03	 4.308E+01
    1.2000	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.558E+03	 5.000E+03	 4.308E+01
    1.2125	 1.600E+01	 1.202E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.560E+03	 5.000E+03	 4.308E+01
    1.2250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.562E+03	 5.000E+03	 4.308E+01
    1.2375	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.564E+03	 5.000E+03	 4.308E+01
    1.2500	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.566E+03	 5.000E+03	 4.308E+01
    1.2625	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.569E+03	 5.000E+03	 4.308E+01
    1.2750	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.571E+03	 5.000E+03	 4.308E+01
    1.2875	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.573E+03	 5.000E+03	 4.308E+01
    1.3000	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.576E+03	 5.000E+03	 4.308E+01
    1.3125	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.578E+03	 5.000E+03	 4.308E+01
    1.3250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.581E+03	 5.000E+03	 4.308E+01
    1.3375	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.583E+03	 5.000E+03	 4.308E+01
    1.3500	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.586E+03	 5.000E+03	 4.308E+01
    1.3625	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.588E+03	 5.000E+03	 4.308E+01
    1.3750	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.374E+04	 4.179E+03	 5.591E+03	 5.000E+03	 4.308E+01
    1.3875	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.594E+03	 5.000E+03	 4.308E+01
    1.4000	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.597E+03	 5.000E+03	 4.308E+01
    1.4125	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.599E+03	 5.000E+03	 4.308E+01
    1.4250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.602E+03	 5.000E+03	 4.308E+01
    1.4375	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.605E+03	 5.000E+03	 4.308E+01
    1.4500	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.608E+03	 5.000E+03	 4.308E+01
    1.4625	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.611E+03	 5.000E+03	 4.308E+01
    1.4750	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.614E+03	 5.000E+03	 4.308E+01
    1.4875	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.617E+03	 5.000E+03	 4.308E+01
    1.5000	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.620E+03	 5.000E+03	 4.308E+01
    1.5125	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.623E+03	 5.000E+03	 4.308E+01
    1.5250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.626E+03	 5.000E+03	 4.308E+01
    1.5375	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.629E+03	 5.000E+03	 4.308E+01
    1.5500	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.632E+03	 5.000E+03	 4.308E+01
    1.5625	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.635E+03	 5.000E+03	 4.308E+01
    1.5750	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.638E+03	 5.000E+03	 4.308E+01
    1.5875	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.642E+03	 5.000E+03	 4.308E+01
    1.6000	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.645E+03	 5.000E+03	 4.308E+01
    1.6125	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.648E+03	 5.000E+03	 4.308E+01
    1.6250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.373E+04	 4.179E+03	 5.651E+03	 5.000E+03	 4.308E+01
    1.6375	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.655E+03	 5.000E+03	 4.308E+01
    1.6500	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.658E+03	 5.000E+03	 4.308E+01
    1.6625	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.661E+03	 5.000E+03	 4.308E+01
    1.6750	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.665E+03	 5.000E+03	 4.308E+01
    1.6875	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.668E+03	 5.000E+03	 4.308E+01
    1.7000	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.671E+03	 5.000E+03	 4.308E+01
    1.7125	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.675E+03	 5.000E+03	 4.308E+01
    1.7250	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.678E+03	 5.000E+03	 4.308E+01
    1.7375	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.682E+03	 5.000E+03	 4.308E+01
    1.7500	 1.600E+01	 1.203E+01	 1.210E+01	 0.000E+00	 3.372E+04	 4.178E+03	 5.685E+03	 5.000E+03	 4.308E+01
